minute,beta
2025-04-04 13:30:00+00:00,29.689453381073374
2025-04-04 13:31:00+00:00,29.689840178540155
2025-04-04 13:32:00+00:00,29.52000826650827
2025-04-04 13:33:00+00:00,29.573608976008956
2025-04-04 13:34:00+00:00,29.61903145935145
2025-04-04 13:35:00+00:00,29.597100672940652
2025-04-04 13:36:00+00:00,29.64292597876599
2025-04-04 13:37:00+00:00,29.311617348177357
2025-04-04 13:38:00+00:00,28.981081935081928
2025-04-04 13:39:00+00:00,28.252152928002932
2025-04-04 13:40:00+00:00,29.028004045604035
2025-04-04 13:41:00+00:00,28.641009366369364
2025-04-04 13:42:00+00:00,21.14036324821603
2025-04-04 13:43:00+00:00,16.058045902614836
2025-04-04 13:44:00+00:00,28.65765736277736
2025-04-04 13:45:00+00:00,28.668852957892955
2025-04-04 13:46:00+00:00,28.77298506698506
2025-04-04 13:47:00+00:00,28.889858086938087
2025-04-04 13:48:00+00:00,29.02855886439887
2025-04-04 13:49:00+00:00,29.20628379920379
2025-04-04 13:50:00+00:00,29.151497240337232
2025-04-04 13:51:00+00:00,29.180284537604518
2025-04-04 13:52:00+00:00,28.905517371707578
2025-04-04 13:53:00+00:00,29.17078865310865
2025-04-04 13:54:00+00:00,29.36600271450271
2025-04-04 13:55:00+00:00,29.030750615130614
2025-04-04 13:56:00+00:00,26.785878772439567
2025-04-04 13:57:00+00:00,24.38536915592259
2025-04-04 13:58:00+00:00,29.112682432602423
2025-04-04 13:59:00+00:00,16.48716127848883
2025-04-04 14:00:00+00:00,16.58785210826331
2025-04-04 14:01:00+00:00,29.267114469214462
2025-04-04 14:02:00+00:00,18.97458045780498
2025-04-04 14:03:00+00:00,29.198431169071153
2025-04-04 14:04:00+00:00,29.147587065667064
2025-04-04 14:05:00+00:00,29.112712453032447
2025-04-04 14:06:00+00:00,29.173844709844712
2025-04-04 14:07:00+00:00,29.14325746701746
2025-04-04 14:08:00+00:00,28.902753951805174
2025-04-04 14:09:00+00:00,28.98585892869892
2025-04-04 14:10:00+00:00,28.746695395035392
2025-04-04 14:11:00+00:00,22.940650099923722
2025-04-04 14:12:00+00:00,19.726878412736948
2025-04-04 14:13:00+00:00,28.49244573334572
2025-04-04 14:14:00+00:00,27.84850644693226
2025-04-04 14:15:00+00:00,28.613213676253675
2025-04-04 14:16:00+00:00,28.582659931619904
2025-04-04 14:17:00+00:00,21.09603652619058
2025-04-04 14:18:00+00:00,28.346688358487796
2025-04-04 14:19:00+00:00,28.063403190266335
2025-04-04 14:20:00+00:00,28.16310353012979
2025-04-04 14:21:00+00:00,28.563528314488313
2025-04-04 14:22:00+00:00,28.55892992288991
2025-04-04 14:23:00+00:00,28.583805048845033
2025-04-04 14:24:00+00:00,28.343377151117142
2025-04-04 14:25:00+00:00,19.44233246822721
2025-04-04 14:26:00+00:00,27.622915038202656
2025-04-04 14:27:00+00:00,27.970477073277085
2025-04-04 14:28:00+00:00,27.989816896156878
2025-04-04 14:29:00+00:00,27.952164964624952
2025-04-04 14:30:00+00:00,27.827328245148227
2025-04-04 14:31:00+00:00,27.957876916636895
2025-04-04 14:32:00+00:00,27.807952182932166
2025-04-04 14:33:00+00:00,27.332407433369465
2025-04-04 14:34:00+00:00,27.474644744084742
2025-04-04 14:35:00+00:00,24.29366123955298
2025-04-04 14:36:00+00:00,27.32008248932249
2025-04-04 14:37:00+00:00,27.232522348402355
2025-04-04 14:38:00+00:00,27.32092981242982
2025-04-04 14:39:00+00:00,26.188290485888896
2025-04-04 14:40:00+00:00,24.624310570742864
2025-04-04 14:41:00+00:00,27.034591429331428
2025-04-04 14:42:00+00:00,26.820977283197276
2025-04-04 14:43:00+00:00,26.92792554762554
2025-04-04 14:44:00+00:00,16.23598141583272
2025-04-04 14:45:00+00:00,26.820741942235593
2025-04-04 14:46:00+00:00,13.300789160970218
2025-04-04 14:47:00+00:00,26.213294637763223
2025-04-04 14:48:00+00:00,26.886888241888247
2025-04-04 14:49:00+00:00,22.532704689035512
2025-04-04 14:50:00+00:00,26.602714061254037
2025-04-04 14:51:00+00:00,26.46386777674778
2025-04-04 14:52:00+00:00,26.519814527034516
2025-04-04 14:53:00+00:00,26.93441085793085
2025-04-04 14:54:00+00:00,27.57863297155296
2025-04-04 14:55:00+00:00,27.308948647668633
2025-04-04 14:56:00+00:00,27.217630531990544
2025-04-04 14:57:00+00:00,26.46399514169818
2025-04-04 14:58:00+00:00,26.548923777362745
2025-04-04 14:59:00+00:00,27.581406556306543
2025-04-04 15:00:00+00:00,27.563665700605704
2025-04-04 15:01:00+00:00,27.34514735432736
2025-04-04 15:02:00+00:00,27.7891125066725
2025-04-04 15:03:00+00:00,27.754213915853928
2025-04-04 15:04:00+00:00,27.35713070812656
2025-04-04 15:05:00+00:00,28.084445301085278
2025-04-04 15:06:00+00:00,27.968045246605232
2025-04-04 15:07:00+00:00,27.933731965131958
2025-04-04 15:08:00+00:00,27.914389082329087
2025-04-04 15:09:00+00:00,27.825714564314563
2025-04-04 15:10:00+00:00,27.7416602699814
2025-04-04 15:11:00+00:00,27.838655355955357
2025-04-04 15:12:00+00:00,28.067563455343446
2025-04-04 15:13:00+00:00,27.72193773992706
2025-04-04 15:14:00+00:00,27.82372408801122
2025-04-04 15:15:00+00:00,14.918177904583077
2025-04-04 15:16:00+00:00,28.514363506383493
2025-04-04 15:17:00+00:00,28.503867429767446
2025-04-04 15:18:00+00:00,28.590183183663186
2025-04-04 15:19:00+00:00,28.67689520327521
2025-04-04 15:20:00+00:00,17.423904053880822
2025-04-04 15:21:00+00:00,28.670591627091614
2025-04-04 15:22:00+00:00,28.35618519971851
2025-04-04 15:23:00+00:00,28.51621756439427
2025-04-04 15:24:00+00:00,28.725791008302618
2025-04-04 15:25:00+00:00,28.9688408898809
2025-04-04 15:26:00+00:00,23.836972995920508
2025-04-04 15:27:00+00:00,28.444352312352297
2025-04-04 15:28:00+00:00,28.554084676344665
2025-04-04 15:29:00+00:00,28.562983773003776
2025-04-04 15:30:00+00:00,28.43224860100859
